Nama Hotel,Harga Hotel,Bintang
Grand Mercure Yogyakarta Adi Sucipto,"745,868",5
Eastparc Hotel Yogyakarta,"737,459",5
Lafayette Boutique Hotel,"729,633",5
Aveon Hotel Yogyakarta by Daphna Management,"649,636",4
PULANG ke UTTARA,"632,086",4
The Malioboro Hotel and Conference Yogyakarta,"619,738",4
favehotel Malioboro - Yogyakarta,"602,086",3
GRAMM HOTEL by Ambarrukmo - Formerly Grand Ambarrukmo Yogyakarta,"596,873",4
Hotel Neo Malioboro by ASTON,"564,677",3
Indoluxe Hotel Jogjakarta,"558,398",4
The Manohara Hotel Yogyakarta,"543,823",5
The Victoria Hotel Yogyakarta,"537,026",4
"KIMAYA Sudirman Yogyakarta, By HARRIS","525,455",4
PORTA by Ambarrukmo,"523,180",3
PYRENEES Malioboro Hotel,"505,958",2
1O1 STYLE Yogyakarta Malioboro,"489,778",4
Grand Senyum Hotel,"489,775",4
ARTOTEL Yogyakarta,"474,852",4
Java Village Resort By HOMEE Yogyakarta,"459,600",3
Amaris Hotel Malioboro,"442,149",2
Greenhost Boutique Hotel Prawirotaman,"437,836",4
Ibis Yogyakarta Adi Sucipto,"431,818",3
KHAS Malioboro Hotel,"414,159",3
ibis Yogyakarta International Airport Kulon Progo,"412,300",3
Luxury Malioboro Hotel,"408,843",3
Satoria Hotel Yogyakarta,"397,866",4
Joglo Plawang Villa & Resort,"393,930",4
H Boutique Hotel Jogjakarta,"392,648",3
Hotel New Saphir Yogyakarta,"392,234",4
Whiz Hotel Malioboro Yogyakarta,"383,869",2
Malioboro Prime Hotel,"383,383",3
Crystal Lotus Hotel Yogyakarta,"380,889",4
Arte Hotel Yogyakarta,"380,198",3
Kotta GO Yogyakarta,"368,182",3
Lynn Hotel by Horison,"354,870",3
Grand Serela Hotel Yogyakarta,"350,281",4
Khas Tugu (formerly Pesonna Hotel Tugu Yogyakarta),"344,907",3
Hotel FortunaGrande Seturan Yogyakarta (formerly - Hotel Dafam Fortuna Seturan Yogyakarta),"343,137",4
Hotel Indies Heritage Prawirotaman,"342,066",3
The Amartya Jogjakarta Hotel,"336,654",3
Merapi Merbabu Hotel Yogyakarta Powered by Archipelago,"335,971",4
